ip,min_rtt,max_rtt,avg_rtt,packet_loss,geo_distance_km,location,error
160.242.19.254,227.136,229.036,228.086,0.0,11507.037205153109,,
41.110.39.130,140.45,146.758,142.166,0.0,7847.1675188667305,,
213.158.175.240,141.915,145.053,142.966,0.0,9917.999865225103,,
102.214.66.39,189.749,201.002,192.182,0.0,8733.610536200464,,
102.214.66.19,193.164,196.623,194.431,0.0,8733.610536200464,,
212.60.92.134,170.299,173.516,171.955,0.0,7393.763193754143,,
105.235.237.2,220.481,227.724,222.572,0.0,10218.091544144529,,
speed.mymanga.pro,329.447,439.961,343.968,0.0,12889.90117269486,,
speedtestfl.telecom.mu,312.534,380.637,324.655,0.0,15970.611608061223,,
speedtest.telecom.mu,337.677,345.318,339.595,0.0,15965.575386518924,,
41.226.22.119,129.458,133.963,131.434,0.0,7983.617104240352,,
41.210.185.162,277.14,330.609,284.437,0.0,12429.597495640663,,
169.150.238.161,263.329,302.309,270.288,0.0,13910.87788432635,,
69.48.239.124,258.376,345.277,267.973,0.0,13910.87788432635,,
86.96.154.106,216.34,255.976,223.071,0.0,11748.88970232411,,
23.249.55.42,202.599,212.9,205.021,0.0,11748.88970232411,,
69.48.238.200,209.584,236.06,214.476,0.0,11748.88970232411,,
84.17.57.129,232.297,338.679,258.004,0.0,12702.37334557785,,
23.249.58.14,194.328,199.232,196.773,0.0,12702.37334557785,,
speedtest.hkg12.hk.leaseweb.net,271.29,366.362,281.8,0.0,12699.004872115596,,
iperf.scbd.net.id,241.653,348.57,262.857,0.0,15968.856151635542,,
103.185.255.183,0.0,0.0,0.0,1.0,14925.819597886239,,
169.150.202.193,153.76,157.023,155.01,0.0,9971.635671417502,,
speed.netfiber.net.il,0.0,0.0,0.0,1.0,10024.89948142956,,
speed.rimon.net.il,0.0,0.0,0.0,1.0,10024.89948142956,,
23.249.61.122,260.851,277.729,265.655,0.0,13864.10791041263,,
69.48.236.198,254.056,361.908,267.451,0.0,13163.238102219759,,
89.187.160.1,164.992,175.945,166.796,0.0,10301.490656414095,,
23.249.60.154,133.535,135.098,134.299,0.0,10301.490656414095,,
66.35.31.81,130.659,138.427,132.751,0.0,10301.490656414095,,
speedtest.tyo11.jp.leaseweb.net,164.649,172.926,166.656,0.0,10301.490656414095,,
89.187.162.1,224.617,321.52,248.917,0.0,15241.388617381437,,
96.45.38.22,250.224,290.255,258.146,0.0,15241.388617381437,,
speedtest.sin1.sg.leaseweb.net,237.088,304.312,251.408,0.0,15248.718967816949,,
sgp.proof.ovh.net,219.126,318.897,233.412,0.0,15248.560624986667,,
speedtest.singnet.com.sg,207.518,253.405,212.757,0.0,15248.168996840475,,
156.146.52.1,150.164,172.221,154.249,0.0,8886.320414365857,,
69.48.237.66,149.137,216.028,157.45,0.0,8886.320414365857,,
speedtest.uztelecom.uz,202.521,205.683,204.063,0.0,10612.008951030024,,
185.180.12.40,126.005,136.532,128.267,0.0,7613.282682381184,,
lg.vie.alwyzon.net,120.052,124.273,121.88,0.0,7610.708220225818,,
207.211.214.65,102.086,111.967,103.56,0.0,6727.277668995239,,
37.19.203.1,137.708,140.439,138.806,0.0,8422.925298262615,,
t5.cscs.ch,117.591,120.535,118.668,0.0,7187.677285641712,,
89.187.165.1,120.56,122.068,121.445,0.0,7189.020981763907,,
speedtest.init7.net,106.442,110.576,108.091,0.0,7199.8053023091,,
212.60.47.34,117.292,122.344,118.863,0.0,7135.305808665855,,
speedtest.shinternet.ch,113.195,118.171,114.287,0.0,7175.610562510434,,
speedtest.iway.ch,108.89,112.342,110.527,0.0,7185.527615119362,,
185.152.65.113,118.314,122.605,119.708,0.0,7374.730689825112,,
85.163.71.241,126.87,133.406,128.769,0.0,7560.5589613864995,,
fra.speedtest.clouvider.net,108.863,115.891,111.2,0.0,7028.939061509054,,
185.102.219.93,109.832,115.191,111.476,0.0,7033.127861066143,,
178.215.228.109,112.771,119.453,115.088,0.0,7030.555835181417,,
96.45.39.38,111.049,118.402,113.566,0.0,7033.127861066143,,
spd-desrv.hostkey.com,112.112,121.359,114.208,0.0,7033.127861066143,,
speedtest.ip-projects.de,108.206,113.259,110.488,0.0,7033.386345967751,,
speedtest.fra1.de.leaseweb.net,104.858,111.682,107.847,0.0,7031.053527317116,,
