destination_ip,hop_number,hop_ip,min_rtt,max_rtt,avg_rtt
41.210.185.162,1,192.168.4.1,0.5,0.5,0.5
41.210.185.162,2,100.111.0.3,1.0,2.0,1.3333333333333333
41.210.185.162,4,10.192.208.213,7.0,9.0,7.666666666666667
41.210.185.162,5,62.115.192.212,6.0,7.0,6.666666666666667
41.210.185.162,6,62.115.140.108,7.0,8.0,7.333333333333333
41.210.185.162,7,62.115.139.32,23.0,24.0,23.333333333333332
41.210.185.162,8,62.115.139.245,92.0,93.0,92.5
41.210.185.162,9,62.115.126.39,92.0,92.0,92.0
41.210.185.162,10,80.239.160.171,92.0,92.0,92.0
41.210.185.162,11,41.181.244.178,114.0,116.0,115.0
41.210.185.162,12,41.181.244.162,125.0,127.0,126.0
41.210.185.162,13,41.181.190.186,117.0,118.0,117.5
41.210.185.162,14,41.181.189.176,117.0,117.0,117.0
41.210.185.162,15,41.181.247.37,275.0,275.0,275.0
41.210.185.162,16,41.210.190.133,276.0,276.0,276.0
41.210.185.162,17,41.210.190.168,274.0,274.0,274.0
41.210.185.162,18,41.210.185.45,274.0,274.0,274.0
41.210.185.162,19,41.210.185.162,273.0,274.0,273.3333333333333
160.242.19.254,1,192.168.4.1,0.5,0.5,0.5
160.242.19.254,4,10.192.208.213,6.0,7.0,6.666666666666667
160.242.19.254,5,128.241.8.46,7.0,8.0,7.333333333333333
160.242.19.254,10,129.250.3.81,55.0,55.0,55.0
160.242.19.254,11,168.143.191.63,48.0,49.0,48.666666666666664
160.242.19.254,12,197.234.114.254,208.0,208.0,208.0
160.242.19.254,14,160.242.119.177,204.0,205.0,204.5
160.242.19.254,15,197.234.114.110,208.0,210.0,209.0
160.242.19.254,16,160.242.19.254,205.0,206.0,205.66666666666666
217.61.40.96,1,192.168.4.1,0.5,0.5,0.5
217.61.40.96,4,10.192.208.213,7.0,7.0,7.0
217.61.40.96,5,62.115.192.212,7.0,7.0,7.0
217.61.40.96,6,62.115.140.108,7.0,7.0,7.0
217.61.40.96,7,62.115.139.32,23.0,23.0,23.0
217.61.40.96,8,62.115.139.245,92.0,92.0,92.0
217.61.40.96,9,62.115.135.25,100.0,100.0,100.0
217.61.40.96,10,62.115.135.225,125.0,125.0,125.0
217.61.40.96,11,213.248.100.243,116.0,116.0,116.0
217.61.40.96,12,62.149.185.209,120.0,122.0,121.0
217.61.40.96,13,217.61.32.74,118.0,134.0,125.66666666666667
217.61.40.96,14,217.61.40.96,117.0,117.0,117.0
207.211.214.65,1,192.168.4.1,0.5,0.5,0.5
207.211.214.65,4,10.192.208.213,7.0,7.0,7.0
207.211.214.65,5,62.115.192.212,7.0,7.0,7.0
207.211.214.65,7,62.115.132.134,23.0,24.0,23.333333333333332
207.211.214.65,8,62.115.139.247,92.0,92.0,92.0
207.211.214.65,9,62.115.137.235,98.0,98.0,98.0
207.211.214.65,10,62.115.116.231,100.0,101.0,100.66666666666667
207.211.214.65,11,80.239.151.98,103.0,105.0,104.0
207.211.214.65,12,79.127.192.113,102.0,103.0,102.66666666666667
207.211.214.65,13,207.211.214.65,105.0,106.0,105.33333333333333
96.45.43.6,1,192.168.4.1,0.5,0.5,0.5
96.45.43.6,4,10.192.208.213,6.0,7.0,6.666666666666667
96.45.43.6,5,128.241.8.46,7.0,7.0,7.0
96.45.43.6,7,129.250.2.47,28.0,28.0,28.0
96.45.43.6,8,128.241.10.111,19.0,22.0,20.333333333333332
96.45.43.6,9,154.52.26.20,19.0,19.0,19.0
96.45.43.6,12,96.45.43.6,19.0,20.0,19.333333333333332
