Algorithm,Flow,Throughput_avg (Mbps),Throughput_median (Mbps),Throughput_p99 (Mbps),CWND_avg,CWND_median,RTT_avg (ms),RTT_median (ms),RTT_var_avg (ms),Delivery_rate_avg (Mbps)
RENO,1,11.48,13.04,22.89,59.0,55.0,57.35,58.74,4.07,10.89
RENO,2,13.16,12.84,63.53,65.85,59.0,58.06,57.8,3.95,12.21
RENO,3,13.11,13.55,84.58,64.5,62.0,57.28,55.92,3.9,12.88
RENO,4,10.96,13.22,29.57,53.38,47.0,59.99,59.2,4.6,9.89
RENO,5,10.32,11.57,21.89,53.47,52.5,58.08,57.48,4.36,9.55
RENO,6,15.56,14.24,43.97,77.56,74.0,58.29,55.46,2.89,14.66
RENO,7,10.46,11.72,21.08,54.35,51.0,58.61,58.62,4.44,9.75
RENO,8,13.66,15.2,26.8,69.21,68.5,56.92,57.74,3.76,12.7
BBR,1,9.84,12.16,17.16,62.44,65.0,60.22,57.18,5.16,9.53
BBR,2,9.62,10.72,17.21,61.38,62.0,59.94,57.0,4.6,8.99
BBR,3,10.43,11.32,17.81,65.65,67.0,59.66,56.35,4.93,9.62
BBR,4,8.79,10.04,14.8,57.15,58.0,59.83,55.75,4.66,8.25
BBR,5,9.19,10.52,13.78,60.56,62.0,59.96,57.51,4.66,8.64
BBR,6,10.02,12.04,17.54,64.35,67.0,59.86,56.02,4.75,9.41
BBR,7,8.46,8.72,32.43,55.41,56.0,59.42,55.09,5.38,7.78
BBR,8,10.97,12.71,20.24,71.56,72.0,60.27,56.54,4.35,10.37
CUBIC,1,24.61,24.94,55.88,133.53,134.0,63.14,64.02,3.01,21.25
CUBIC,2,9.01,8.75,24.94,43.09,42.5,63.42,65.99,3.89,7.64
CUBIC,3,11.84,11.24,30.64,58.18,59.5,64.12,66.26,3.61,9.67
CUBIC,4,11.4,10.0,36.56,55.5,55.0,62.95,64.68,3.68,9.93
CUBIC,5,9.58,9.21,26.66,45.94,47.0,62.64,63.65,4.16,7.99
CUBIC,6,13.83,13.57,27.99,73.88,68.0,62.97,64.01,2.64,12.34
CUBIC,7,11.34,10.65,35.42,57.29,54.0,62.75,63.11,4.43,9.69
CUBIC,8,6.19,6.84,21.46,30.26,25.5,63.52,66.07,4.74,5.24
EXPO,1,9.45,9.13,31.18,60.5,58.0,71.43,70.1,4.62,9.19
EXPO,2,6.81,6.33,16.66,42.59,42.0,71.41,72.28,5.98,6.46
EXPO,3,9.09,8.72,24.32,58.97,54.0,71.65,69.46,4.67,8.7
EXPO,4,11.53,11.29,58.2,75.35,72.5,72.54,73.88,3.9,11.47
EXPO,5,13.42,12.29,39.41,89.03,85.0,74.65,72.78,4.73,13.52
EXPO,6,11.8,11.98,32.03,82.06,76.5,72.04,73.14,4.59,11.34
EXPO,7,10.13,10.04,34.97,66.26,68.0,73.83,71.22,4.07,9.83
EXPO,8,11.18,11.11,30.53,71.88,71.0,72.45,72.52,4.64,10.44
